"Status","Name","DisplayName"
"Running","SecurityHealthService","Windows セキュリティ サービス"
"Stopped","SEMgrSvc","支払いおよび NFC/SE マネージャー"
"Running","SENS","System Event Notification Service"
"Stopped","Sense","Windows Defender Advanced Threat Protection Service"
"Stopped","SensorDataService","Sensor Data Service"
"Stopped","SensorService","Sensor Service"
"Stopped","SensrSvc","Sensor Monitoring Service"
"Running","SessionEnv","Remote Desktop Configuration"
"Stopped","SgrmBroker","System Guard ランタイム モニター ブローカー"
"Stopped","SharedAccess","Internet Connection Sharing (ICS)"
"Running","ShellHWDetection","Shell Hardware Detection"
"Stopped","shpamsvc","Shared PC Account Manager"
"Stopped","smphost","Microsoft Storage Spaces SMP"
"Stopped","SNMPTrap","SNMP トラップ"
"Running","Spooler","Print Spooler"
"Stopped","sppsvc","Software Protection"
"Stopped","SSDPSRV","SSDP Discovery"
"Stopped","ssh-agent","OpenSSH Authentication Agent"
"Stopped","sshd","OpenSSH SSH Server"
"Stopped","SstpSvc","Secure Socket Tunneling Protocol Service"
"Running","StateRepository","State Repository Service"
"Stopped","StiSvc","Windows Image Acquisition (WIA)"
"Running","StorSvc","Storage Service"
"Stopped","svsvc","Spot Verifier"
"Stopped","swprv","Microsoft Software Shadow Copy Provider"
"Running","SysMain","SysMain"
"Running","SystemEventsBroker","System Events Broker"
"Stopped","tapisrv","Telephony"
"Running","TermService","Remote Desktop Services"
"Running","TextInputManagementService","Text Input Management Service"
"Running","Themes","Themes"
"Stopped","TieringEngineService","Storage Tiers Management"
"Running","TimeBrokerSvc","Time Broker"
"Running","TokenBroker","Web アカウント マネージャー"
"Running","TrkWks","Distributed Link Tracking Client"
"Stopped","TrustedInstaller","Windows Modules Installer"
"Stopped","tzautoupdate","タイム ゾーンの自動更新機能"
"Stopped","UALSVC","User Access Logging Service"
"Stopped","UevAgentService","ユーザー エクスペリエンス仮想化サービス"
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector"
"Stopped","upnphost","UPnP Device Host"
"Running","UserManager","User Manager"
"Stopped","UsoSvc","Orchestrator Service の更新"
"Stopped","VaultSvc","Credential Manager"
"Stopped","vds","Virtual Disk"
"Stopped","VirtioFsSvc","VirtIO-FS Service"
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface"
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service"
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service"
"Stopped","vmicrdv","Hyper-V リモート デスクトップ仮想化サービス"
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service"
"Stopped","vmictimesync","Hyper-V Time Synchronization Service"
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service"
"Stopped","vmicvss","Hyper-V ボリューム シャドウ コピー リクエスター"
"Stopped","VSS","Volume Shadow Copy"
"Running","W32Time","Windows Time"
"Stopped","WaaSMedicSvc","WaaSMedicSvc"
"Stopped","WalletService","WalletService"
"Stopped","WarpJITSvc","Warp JIT Service"
"Stopped","WbioSrvc","Windows Biometric Service"
"Running","Wcmsvc","Windows Connection Manager"
"Stopped","wcncsvc","Windows Connect Now - Config Registrar"
"Stopped","WdiServiceHost","Diagnostic Service Host"
"Stopped","WdiSystemHost","Diagnostic System Host"
"Running","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service"
"Stopped","Wecsvc","Windows Event Collector"
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service"
"Stopped","wercplsupport","Problem Reports Control Panel Support"
"Stopped","WerSvc","Windows Error Reporting Service"
"Stopped","WFDSConMgrSvc","Wi-Fi Direct サービスの接続マネージャー サービス"
"Stopped","WiaRpc","Still Image Acquisition Events"
"Running","WinDefend","Microsoft Defender Antivirus Service"
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service"
"Running","Winmgmt","Windows Management Instrumentation"
"Running","WinRM","Windows Remote Management (WS-Management)"
"Stopped","wisvc","Windows Insider サービス"
"Stopped","WlanSvc","WLAN AutoConfig"
"Running","wlidsvc","Microsoft Account Sign-in Assistant"
"Running","WLMS","Windows Licensing Monitoring Service"
"Stopped","WManSvc","WManSvc"
"Running","wmiApSrv","WMI Performance Adapter"
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service"
"Stopped","workfolderssvc","Work Folders"
"Running","WPDBusEnum","Portable Device Enumerator Service"
"Running","WpnService","Windows プッシュ通知システム サービス"
"Stopped","WSAIFabricSvc","WSAIFabricSvc"
"Stopped","WSearch","Windows Search"
"Running","wuauserv","Windows Update"
"Stopped","XblAuthManager","XblAuthManager"
